TUpprol,IMpkill,IMinfluxProb
0.192684991,0.251291528,0.86519183
0.352757479,0.950346379,0.365640555
0.789615729,0.879847215,0.39110998
0.961964139,0.790485148,0.414831288
0.939739958,0.913058478,0.760180565
0.328287895,0.853623418,0.429767486
0.932326513,0.556035881,0.89219664
0.9770037,0.369820241,0.244476292
0.766858709,0.870941153,0.216040692
0.791414606,0.100046165,0.139376188
0.571915724,0.364988799,0.157728407
0.892503776,0.763518661,0.141388044
0.932646199,0.927499018,0.250731296
0.383567668,0.828233066,0.892215996
0.816814955,0.800578714,0.799804231
0.720681673,0.921399722,0.682013524
0.69836869,0.127844414,0.978386817
0.519972909,0.494948814,0.593481387
0.446428232,0.383895982,0.163714106
0.896463697,0.591319748,0.101774696
0.419616162,0.453908664,0.22446112
0.662628838,0.893719381,0.120040078
0.70943568,0.651871958,0.235954059
0.587980406,0.612844246,0.517488522
0.581120808,0.762829117,0.428000194
0.457279484,0.814006303,0.856041117
0.242840293,0.254558565,0.817918398
0.969964358,0.315110681,0.132419738
0.911458472,0.898686191,0.979912162
0.238327619,0.699632514,0.932855772
0.947977727,0.76841864,0.370585921
0.79010192,0.855901086,0.966236397
0.49132232,0.95543828,0.806599171
0.873528317,0.641473694,0.11834635
0.947014793,0.485190434,0.677128614
0.695931399,0.129291954,0.659881597
0.941410538,0.738474351,0.106866744
0.969721889,0.538538542,0.852477054
0.52546755,0.179737252,0.726796419
0.860831398,0.935141438,0.288784702
0.715817134,0.513069075,0.690665421
0.876516021,0.635840849,0.948054059
0.466443354,0.52209637,0.602638061
0.405342394,0.708488553,0.959706189
0.807224313,0.295271884,0.988068793
0.705003818,0.667997237,0.875763857
0.239793967,0.188110496,0.925206341
0.330389298,0.224784157,0.787940848
0.508350045,0.154966505,0.353161779
0.581367589,0.254419818,0.381592301
0.815113533,0.491034753,0.765947972
0.920148596,0.977259045,0.229659162
0.947091433,0.358049714,0.443652204
