file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-EB-A5FP-01A-01-TSA_patch=1,0.92685139,8852,416,D
TCGA-EB-A5FP-01A-01-TSA_patch=2,0.97841944,7104,2668,D
TCGA-EB-A5SH-06A-01-TSA_patch=1,0.86692014,8016,633,D
TCGA-EB-A5SH-06A-01-TSA_patch=2,0.90546597,8303,711,D
TCGA-EB-A5UL-06A-01-TSA_patch=1,0.84144722,4422,3926,IE
TCGA-EB-A82C-01A-01-TSA_patch=1,0.96935,9378,296,D
TCGA-EB-A97M-01A-01-TSA_patch=1,0.90289931,5727,3274,IE
TCGA-EB-A97M-01A-01-TSA_patch=2,0.91125278,8350,741,IE
TCGA-EE-A17X-06A-01-TS1_patch=1,0.84646667,1234,7159,D
TCGA-EE-A17X-06A-01-TS1_patch=2,0.98412083,2166,7631,D
TCGA-EE-A180-06A-01-TSA_patch=1,0.99023472,9414,447,D
TCGA-EE-A181-06A-01-TSA_patch=1,0.83407986,4305,4021,IE
TCGA-EE-A181-06A-01-TSA_patch=2,0.89586667,4594,4341,IE
TCGA-EE-A181-06A-01-TSA_patch=3,0.99066667,5529,4371,IE
TCGA-EE-A182-06A-01-TSA_patch=1,0.86877083,3918,4777,D
TCGA-EE-A182-06A-01-TSA_patch=2,0.96806181,1274,8365,D
TCGA-EE-A183-06A-01-TS1_patch=1,0.87424722,7244,1474,D
TCGA-EE-A183-06A-01-TS1_patch=2,0.86971042,5650,2974,D
TCGA-EE-A183-06A-01-TS1_patch=3,0.83161667,4151,4068,D
TCGA-EE-A184-06A-01-TSA_patch=1,0.91697083,5900,3227,IE
TCGA-EE-A184-06A-01-TSA_patch=2,0.98606667,4322,5495,IE
TCGA-EE-A184-06A-01-TSA_patch=3,0.89738611,5648,3273,IE
TCGA-EE-A184-06A-01-TSA_patch=4,0.84410556,4635,3762,IE
TCGA-EE-A20C-06A-01-TSA_patch=1,0.81391667,6405,1654,D
TCGA-EE-A20C-06A-01-TSA_patch=2,0.8566125,6663,1895,D
TCGA-EE-A20C-06A-01-TSA_patch=3,0.91358333,7325,1752,D
TCGA-EE-A20F-06A-02-TSB_patch=1,0.88428056,3903,4929,IE
TCGA-EE-A20F-06A-02-TSB_patch=2,0.93397153,8738,572,IE
TCGA-EE-A20I-06A-01-TS1_patch=1,0.82360347,6863,1350,D
TCGA-EE-A20I-06A-01-TS1_patch=2,0.904075,7153,1887,D
TCGA-EE-A29B-06A-01-TSA_patch=1,0.89171736,5895,2955,D
TCGA-EE-A29B-06A-01-TSA_patch=2,0.97909722,4641,5088,D
TCGA-EE-A29E-06A-01-TSA_patch=1,0.87760139,7268,1429,D
TCGA-EE-A29E-06A-01-TSA_patch=2,0.98041667,7484,2266,D
TCGA-EE-A29H-06A-01-TSA_patch=1,0.84086111,3887,4435,D
TCGA-EE-A29L-06A-01-TSA_patch=1,0.89701528,7290,1700,D
TCGA-EE-A29L-06A-01-TSA_patch=2,0.91036319,7834,1265,D
TCGA-EE-A29M-06A-01-TS1_patch=1,0.96813403,2740,6891,IE
TCGA-EE-A29P-06A-01-TSA_patch=1,0.81713194,2157,5990,IE
TCGA-EE-A29P-06A-01-TSA_patch=2,0.81195764,4316,3744,IE
TCGA-EE-A29V-06A-01-TSA_patch=1,0.85534653,5185,3372,D
TCGA-EE-A29V-06A-01-TSA_patch=2,0.89791597,1757,7169,D
TCGA-EE-A29X-06A-01-TSA_patch=1,0.80109514,4117,3908,IE
TCGA-EE-A2A2-06A-01-TSA_patch=1,0.85971042,7885,744,D
