sample,neighbor_cell_type,mean (training),mean (reconstruction)
156,tumor,7.314105452906714,7.033517182859567
156,lymphocyte,0.36863452005407843,0.4896054306321595
157,tumor,7.805074408392291,7.798
157,lymphocyte,0.017077335935594046,0.045625
158,tumor,7.5631151048352585,7.439443357251577
158,lymphocyte,0.26272999572100986,0.3607305936073059
159,tumor,7.6824324324324325,7.666320705760249
159,lymphocyte,0.06913610038610038,0.13492475350285418
160,tumor,7.141063956963539,7.065178032589016
160,lymphocyte,0.6016138673042438,0.6647555823777912
161,tumor,7.4356141096472586,7.329666011787819
161,lymphocyte,0.42052698682532935,0.44027504911591353
162,tumor,6.753790613718412,5.729537366548043
162,lymphocyte,0.9956678700361011,1.4199288256227758
163,tumor,7.6781010276451,7.647689638858224
163,lymphocyte,0.09263279779997105,0.18451348367765336
164,tumor,7.440070298769771,7.424429909846208
164,lymphocyte,0.3421792618629174,0.3733427611808379
165,tumor,7.269005847953216,7.050758075148319
165,lymphocyte,0.4808317089018843,0.6384311140408702
166,tumor,7.096796417499139,6.816026711185309
166,lymphocyte,0.7282121942817775,0.8136894824707847
167,tumor,7.667480071579632,7.5706233988044405
167,lymphocyte,0.11322596388482187,0.22578992314261315
168,tumor,7.773039069490009,7.623192596876807
168,lymphocyte,0.07664777810915598,0.15138808559861192
169,tumor,6.699259259259259,5.741424802110818
169,lymphocyte,0.8592592592592593,1.200527704485488
170,tumor,7.0784201488265595,6.958354239839438
170,lymphocyte,0.7544361763022324,0.7270446562970396
171,tumor,7.294117647058823,7.1237668161434975
171,lymphocyte,0.5078431372549019,0.5856502242152466
172,tumor,7.198152628106444,7.201948447331033
172,lymphocyte,0.5656476797888718,0.5309518977065151
173,tumor,7.503996720639475,7.360284318080853
173,lymphocyte,0.3170731707317073,0.45624167036872504
174,tumor,7.563351217498968,7.504847129008203
174,lymphocyte,0.19149814279818406,0.2784489187173751
175,tumor,7.805929329395033,7.774390898357841
175,lymphocyte,0.06355978558144623,0.06697434796608351
176,tumor,7.6852741836105976,7.626588465298143
176,lymphocyte,0.019593345656192238,0.130568356374808
177,tumor,7.687797351163688,7.635936420179682
177,lymphocyte,0.06480648064806481,0.15093296475466483
178,tumor,7.559046961325967,7.529095190043727
178,lymphocyte,0.2836671270718232,0.2943155062226707
179,tumor,7.782103678210368,7.77822445561139
179,lymphocyte,0.01398150139815014,0.04678950307091011
180,tumor,7.1826923076923075,4.234086242299795
180,lymphocyte,0.8173076923076923,1.9014373716632444
181,tumor,7.1250959324635454,6.610284167794316
181,lymphocyte,0.6485034535686877,0.8227334235453315
182,tumor,7.423245614035087,6.267011197243756
182,lymphocyte,0.5767543859649122,1.0275624461670974
183,tumor,7.697291824854467,7.633136094674557
183,lymphocyte,0.022399392558845863,0.14821763602251406
184,tumor,6.777777777777778,3.008695652173913
184,lymphocyte,1.2222222222222223,2.4695652173913043
185,tumor,7.511792992901305,7.351758793969849
185,lymphocyte,0.3148614609571788,0.4118318867062586
186,tumor,7.788848564830089,7.650793650793651
186,lymphocyte,0.05196304849884527,0.14009661835748793
187,tumor,7.163265306122449,3.6779661016949152
187,lymphocyte,0.41836734693877553,2.1483050847457625
188,tumor,6.581730769230769,4.22568093385214
188,lymphocyte,1.0216346153846154,2.114785992217899
189,tumor,7.674041757556871,7.6423697270471465
189,lymphocyte,0.1403864132128389,0.160514888337469
190,tumor,7.670619235836627,7.646671061305208
190,lymphocyte,0.1112575025618504,0.23500329597890574
191,tumor,7.62502052208176,7.628855553682791
191,lymphocyte,0.1889673288458381,0.21136018877465026
192,tumor,7.570172582220775,7.50107812240836
192,lymphocyte,0.2582220774991859,0.3317299718029524
193,tumor,7.206857785272625,6.981762917933131
193,lymphocyte,0.45531197301854975,0.6434650455927051
194,tumor,7.423206547905633,7.19720683843005
194,lymphocyte,0.34039480019258544,0.46231639778473393
195,tumor,7.663783652089171,7.644859813084112
195,lymphocyte,0.0873431599464003,0.1300833543824198
196,tumor,7.628512679917752,7.653205963236358
196,lymphocyte,0.1662782727895819,0.1910551454624403
197,tumor,7.085399449035813,6.674220963172805
197,lymphocyte,0.6561065197428834,0.9074598677998111
198,tumor,7.531874405328259,7.522336311508201
198,lymphocyte,0.2915590593992116,0.297106280837445
199,tumor,7.424785100286533,7.120501815780786
199,lymphocyte,0.36174785100286533,0.5067679102013866
200,tumor,7.637526652452026,7.616912888436067
200,lymphocyte,0.16565524028210596,0.23025980641874683
201,tumor,7.632573795960642,7.571719364907043
201,lymphocyte,0.1179440704298291,0.17763604288234497
202,tumor,7.689786006981333,7.641001115893512
202,lymphocyte,0.11352253756260434,0.1750358680057389
203,tumor,7.768877950553753,7.736405328674383
203,lymphocyte,0.105716523101018,0.11301594234549028
204,tumor,7.542973731191022,7.401374395520489
204,lymphocyte,0.2030094363682734,0.28709595316874525
205,tumor,7.756028031832759,7.732837670384138
205,lymphocyte,0.037059033139327714,0.0724907063197026
206,tumor,7.6155462184873945,7.523345385945606
206,lymphocyte,0.14345738295318128,0.21773306083949065
207,tumor,7.057251908396947,6.068965517241379
207,lymphocyte,0.49236641221374045,1.0266009852216749
208,tumor,6.583232077764277,5.456859971711457
208,lymphocyte,0.9902794653705954,1.768033946251768
209,tumor,7.5814814814814815,7.515399610136452
209,lymphocyte,0.2275925925925926,0.29142300194931775
210,tumor,7.121243523316062,6.224913494809688
210,lymphocyte,0.7160621761658031,1.1141868512110726
211,tumor,7.63563829787234,7.6332999666333
211,lymphocyte,0.13347739361702127,0.17000333667000334
212,tumor,7.3045715416584205,7.305498602050326
212,lymphocyte,0.5378982782505443,0.4961789375582479
213,tumor,7.3943816125501645,7.331328498142579
213,lymphocyte,0.39821233126596134,0.41942331505395364
214,tumor,7.011260053619303,6.714980544747082
214,lymphocyte,0.8278820375335121,0.8813229571984436
215,tumor,7.435285341290563,7.038579720040969
215,lymphocyte,0.41066766132040283,0.5851826561966541
216,tumor,7.692132593541044,7.655765920826162
216,lymphocyte,0.08607198748043818,0.16976998904709747
217,tumor,7.227443609022556,6.523996852871755
217,lymphocyte,0.5216165413533834,0.6923682140047207
218,tumor,7.746367239101717,7.728243525224009
218,lymphocyte,0.07745886874024259,0.10003682337056585
219,tumor,7.324522760646109,7.150835073068894
219,lymphocyte,0.37126774351443953,0.477035490605428
220,tumor,7.059627002889414,6.957518894970029
220,lymphocyte,0.6787496716574731,0.7448527495439146
221,tumor,7.3749733532295885,7.3255368913459495
221,lymphocyte,0.42208484331699,0.42185838826281097
222,tumor,7.2343470483005365,6.881449631449631
222,lymphocyte,0.5914132379248659,0.7152948402948403
223,tumor,7.434210526315789,7.2621895124195035
223,lymphocyte,0.37374686716791977,0.4697945415516713
224,tumor,7.81015873015873,7.7981551817688555
224,lymphocyte,0.016613756613756615,0.04557786218122626
225,tumor,7.782956854308593,7.766707466340269
225,lymphocyte,0.05629257798494084,0.09461444308445532
226,tumor,7.7423975873335005,7.733540694660446
226,lymphocyte,0.07212867554661975,0.11016070502851218
227,tumor,6.589743589743589,3.687074829931973
227,lymphocyte,1.1666666666666667,2.401360544217687
228,tumor,7.412356723511322,7.328675577156743
228,lymphocyte,0.25328487559407326,0.35935601458080196
229,tumor,7.215358931552587,6.36623748211731
229,lymphocyte,0.5467445742904842,0.9213161659513591
230,tumor,7.125612976235383,6.830779944289693
230,lymphocyte,0.6416446623915504,0.7231894150417827
231,tumor,7.74103676638502,7.729052279780377
231,lymphocyte,0.050011418131993605,0.07412270231558844
232,tumor,7.571849813249459,7.496465043205028
232,lymphocyte,0.2799292313740908,0.3495679497250589
233,tumor,7.815157116451017,7.779765820286804
233,lymphocyte,0.016512630930375846,0.08827785817655572
234,tumor,7.733933867955619,7.720004447903925
234,lymphocyte,0.07612874876414369,0.0888468809073724
235,tumor,6.722849695916595,5.653671804170444
235,lymphocyte,0.8670721112076455,1.3680870353581143
236,tumor,7.066764490095378,6.4619257394587795
236,lymphocyte,0.7586206896551724,0.9477658904971681
237,tumor,7.518356961105053,7.380829015544041
237,lymphocyte,0.28680479825517996,0.39433752775721687
238,tumor,7.431526390870186,7.1938093563137535
238,lymphocyte,0.3830242510699001,0.5304256067534294
239,tumor,7.720111664036898,7.683975709505515
239,lymphocyte,0.1142128899138245,0.16309332011401662
240,tumor,7.645609436435125,7.585275345109099
240,lymphocyte,0.062385321100917435,0.1709959922814309
241,tumor,7.703785271851342,7.665736525187252
241,lymphocyte,0.06896077081899518,0.118960199735644
242,tumor,6.528,6.0130111524163565
242,lymphocyte,0.9536,1.3271375464684014
243,tumor,6.969230769230769,2.9855072463768115
243,lymphocyte,1.0307692307692307,2.3797101449275364
244,tumor,7.658381610913848,7.590294498981293
244,lymphocyte,0.20463464772939638,0.2396740137062419
245,tumor,7.432188065099457,7.182241317579663
245,lymphocyte,0.32115732368896927,0.414249910490512
246,tumor,7.649627791563275,7.647242580800192
246,lymphocyte,0.18449131513647643,0.1740958788898234
247,tumor,7.7745241581259155,7.753015075376885
247,lymphocyte,0.01805758906783797,0.04685929648241206
248,tumor,7.514313440077633,7.2799357085454055
248,lymphocyte,0.2185832120329937,0.4160192874363782
249,tumor,7.673381516223282,7.532252617359
249,lymphocyte,0.13701368599108105,0.30969267139479906
250,tumor,7.759927181704403,7.740535653746186
250,lymphocyte,0.07918989646148594,0.09142275963385693
251,tumor,7.168553866062763,6.8375664500886
251,lymphocyte,0.6360401164671627,0.7303603071470762
252,tumor,7.710919970082274,7.669593852908891
252,lymphocyte,0.1888556469708302,0.21368459568240028
253,tumor,7.050766283524904,6.85676625659051
253,lymphocyte,0.7255747126436781,0.7803163444639719
254,tumor,7.4956343091936315,7.14389494272143
254,lymphocyte,0.3022598870056497,0.5345068454875663
255,tumor,7.81294964028777,7.7988898377455165
255,lymphocyte,0.023910283537875582,0.039602903501280956
256,tumor,6.772837510105093,6.503506311360449
256,lymphocyte,1.112368633791431,1.100280504908836
257,tumor,7.503227348792732,7.353860957421217
257,lymphocyte,0.2909395170929955,0.4041375992302141
258,tumor,7.7254154181421955,7.648158803222095
258,lymphocyte,0.1182239171887769,0.20267548906789412
259,tumor,7.646120190451679,7.6196273291925465
259,lymphocyte,0.18993694505211683,0.1972670807453416
260,tumor,7.738748627881449,7.701223241590214
260,lymphocyte,0.0216794731064764,0.11100917431192661
261,tumor,7.329534662867996,6.444773906597479
261,lymphocyte,0.5878442545109211,0.8999258710155671
