sample,area (training),area (reconstruction),perimeter (training),perimeter (reconstruction),complexity (training),complexity (reconstruction)
275,518.5,341.0,86.66904664039612,72.91168677806854,1.1528410012938837,1.240595061720787
276,682.5,511.5,101.01219248771667,86.04163002967834,1.189693463785347,1.1517593767677177
277,301.5,171.0,70.5269113779068,51.45584428310394,1.3128422641452142,1.2321496060275314
278,659.5,453.5,102.18376588821411,86.04162991046906,1.2599089017960359,1.2990626672199372
279,609.5,433.0,93.8406194448471,77.25483465194702,1.1497360737003233,1.0968659990561411
280,336.5,202.0,72.18376541137695,53.79898965358734,1.2322083099617025,1.1402156717584995
281,348.5,209.0,73.69848418235779,54.62741661071777,1.2402363744298188,1.1362271837121147
282,765.0,564.0,106.42640674114227,89.94112479686737,1.1782230088725283,1.14137317410703
283,372.0,209.0,76.76955187320709,54.62741661071777,1.2607390566107612,1.1362271837121147
284,536.0,387.5,87.5979790687561,74.66904604434967,1.1392355272510661,1.1449845722826772
285,540.5,403.0,87.84062004089355,77.25483357906342,1.1360180269087394,1.1785185220835754
286,241.0,89.0,63.94112491607666,40.142135977745056,1.3499995958889452,1.44079132456398
287,153.5,47.0,50.041630148887634,27.656854152679443,1.2982091138566627,1.2950836988727956
288,770.5,564.0,106.52691125869751,89.94112479686737,1.17202307611544,1.14137317410703
289,273.0,163.0,65.11269783973694,48.627416491508484,1.2358303852269925,1.1544228782654855
290,3.0,415.0,6.828427076339722,81.94112503528595,1.2368306322699583,1.2874959872175187
291,656.0,458.5,97.25483310222626,81.3553386926651,1.1473837171864147,1.1487430869601885
292,5.0,84.0,18.82842707633972,36.97056245803833,5.642196574466081,1.29486044862003
293,269.5,122.0,64.52691113948822,43.11269795894623,1.2294563627686204,1.2123854294248002
294,589.5,430.0,95.35533809661865,79.59797942638397,1.2274289074578966,1.1725348705275953
295,680.0,483.0,99.59797859191895,81.94112527370453,1.160866481521226,1.1062336186429955
296,443.5,264.5,81.84061932563782,66.04163014888763,1.2018058847819344,1.312199986653726
297,647.0,464.0,102.56854152679443,81.94112455844879,1.293940229314531,1.151531957923873
298,354.5,231.0,73.84061920642853,57.11269772052765,1.22395247894993,1.1236822099929868
299,335.0,173.0,72.42640626430511,51.45584440231323,1.2460607083994033,1.2179051075547203
300,723.0,537.0,109.59797883033752,93.11269748210907,1.322077544808333,1.2847944947821004
301,59.5,15.0,37.21320307254791,18.485281229019165,1.8521121299269012,1.812804628068042
302,283.5,150.0,65.84061992168427,45.455843925476074,1.2168159544282193,1.0961710480490545
303,606.5,437.0,95.84061968326569,78.42640733718872,1.2051984292467541,1.1200395036274826
304,414.0,232.5,77.25483310222626,58.72792184352875,1.147205213856848,1.1804740510447986
305,319.5,206.5,71.69848418235779,56.38477611541748,1.280381002388017,1.2251627970289793
306,317.5,186.0,72.52691113948822,52.62741672992706,1.3183926390787155,1.1849534705195184
307,579.5,404.5,93.01219260692596,75.35533881187439,1.1880000534967659,1.117119579672387
308,121.5,57.0,45.55634891986847,29.656854152679443,1.3592886144698568,1.2279069093113384
309,596.0,405.0,94.91168713569641,75.5979790687561,1.2027718718036589,1.122937239568773
310,182.5,57.0,52.041630029678345,29.656854152679443,1.18094330670111,1.2279069093113384
311,486.5,338.0,85.8406195640564,70.62741661071777,1.2052939550838588,1.1744109119010986
312,2.0,503.5,6.0,83.69848418235779,1.432394487827058,1.107199412519181
313,381.0,205.5,78.91168689727783,55.69848442077637,1.3006121750104975,1.2013375882002317
314,6.0,489.0,15.656854152679443,85.4558435678482,3.251231527398552,1.1884059242188278
315,692.0,488.0,106.08326017856598,87.59797859191895,1.2941295613494461,1.2512914671284305
316,217.5,107.0,58.183765172958374,41.11269795894623,1.2386098181628362,1.2570666756600102
317,436.5,234.5,94.66904640197754,60.04163038730621,1.6338865320609484,1.2233542703437987
318,599.5,427.0,95.49747395515442,79.59797930717468,1.2105555317242653,1.1807728169008749
319,783.0,619.0,108.08326017856598,93.25483310222626,1.1872583867349238,1.1180009827267152
320,518.0,351.5,88.91168689727783,74.66904652118683,1.2144456297448099,1.262251856120186
321,577.0,425.0,91.5979790687561,80.42640602588654,1.157140533181834,1.2111516634816206
322,570.5,413.5,96.18376553058624,77.01219248771667,1.2904406583109609,1.141388775614709
323,562.5,408.5,95.84061980247498,79.01219344139099,1.2994717318338067,1.2161476690845103
324,277.5,113.5,68.52691149711609,41.55634915828705,1.3466336601532032,1.210790619387086
325,674.0,473.0,100.08326089382172,81.94112503528595,1.1826415510419335,1.1296212150005713
326,5.0,394.0,18.82842707633972,75.59797930717468,5.642196574466081,1.1542882865328827
327,489.0,350.0,87.25483286380768,73.94112467765808,1.2389684826993637,1.2430660226588501
328,366.5,217.0,76.18376517295837,56.97056245803833,1.2602044891155335,1.190231435871662
329,643.0,446.0,97.25483334064484,78.42640709877014,1.1705812164302811,1.0974378029356078
330,344.5,205.5,73.69848418235779,55.21320283412933,1.2546367967744323,1.180495106216343
331,603.0,464.5,97.25483310222626,82.52691149711609,1.248231705595834,1.1667978017432414
332,332.5,181.0,72.52691113948822,51.313708424568176,1.258916279421029,1.157652903404522
333,327.0,137.0,106.0832599401474,45.65685415267944,2.738647255132828,1.2108254416480164
334,294.0,183.5,68.76955199241638,52.870057106018066,1.2800743512460082,1.2121981765342167
335,758.5,568.0,106.66904652118683,89.94112491607666,1.193744481849801,1.1333353378570337
336,5.0,520.5,18.82842707633972,89.35533821582794,5.642196574466081,1.2207041136748238
337,489.5,327.5,85.8406194448471,70.04163002967834,1.1979070633701019,1.1920413503448315
338,670.5,493.5,102.66904640197754,86.04163014888763,1.251037737456988,1.1937688406264109
339,17.5,307.5,21.071067571640015,67.69848477840424,2.018948155853765,1.186049767644113
