sample,neighbor_cell_type,mean (training),mean (reconstruction)
101,lymphocyte,0.1440443213296399,0.43010752688172044
102,tumor,7.2026143790849675,6.790960451977401
102,lymphocyte,0.13725490196078433,0.3615819209039548
103,tumor,7.4363636363636365,7.138211382113822
103,lymphocyte,0.022727272727272728,0.17073170731707318
104,tumor,7.564327485380117,7.40122199592668
104,lymphocyte,0.005847953216374269,0.06109979633401222
105,tumor,7.519756838905775,7.392781316348195
105,lymphocyte,0.007598784194528876,0.10615711252653928
106,tumor,7.3198847262247835,6.91542288557214
106,lymphocyte,0.0345821325648415,0.24875621890547264
107,tumor,7.3264248704663215,7.183856502242152
107,lymphocyte,0.07772020725388601,0.06726457399103139
108,tumor,7.460490463215259,7.4373795761079
108,lymphocyte,0.12942779291553133,0.06936416184971098
109,tumor,7.531390134529148,7.460567823343848
109,lymphocyte,0.09977578475336323,0.10725552050473186
110,tumor,7.552123552123552,7.427495291902072
110,lymphocyte,0.04633204633204633,0.08662900188323917
111,tumor,7.3316831683168315,7.139130434782609
111,lymphocyte,0.0,0.28695652173913044
112,tumor,7.462610899873257,7.406998158379374
112,lymphocyte,0.13814955640050697,0.16022099447513813
113,tumor,7.580686149936468,7.461254612546125
113,lymphocyte,0.026683608640406607,0.06826568265682657
114,tumor,7.599022004889975,7.458483754512636
114,lymphocyte,0.0,0.0812274368231047
115,tumor,7.306843267108167,7.232472324723247
115,lymphocyte,0.1434878587196468,0.12177121771217712
116,tumor,7.428571428571429,7.266862170087976
116,lymphocyte,0.08608058608058608,0.1436950146627566
117,tumor,7.541076487252124,7.424063116370808
117,lymphocyte,0.039660056657223795,0.055226824457593686
118,tumor,7.356125356125356,7.116504854368932
118,lymphocyte,0.022792022792022793,0.17475728155339806
119,tumor,7.561497326203209,7.433070866141732
119,lymphocyte,0.0074866310160427805,0.16535433070866143
120,tumor,7.607064017660044,7.441930618401207
120,lymphocyte,0.008830022075055188,0.11764705882352941
121,tumor,7.53099730458221,7.463503649635037
121,lymphocyte,0.04716981132075472,0.07481751824817519
122,tumor,7.532182103610675,7.379014989293362
122,lymphocyte,0.03296703296703297,0.059957173447537475
123,tumor,7.411255411255412,7.239852398523985
123,lymphocyte,0.03463203463203463,0.0996309963099631
124,tumor,7.4921875,7.120521172638436
124,lymphocyte,0.033203125,0.4201954397394137
125,tumor,7.381342062193126,7.292792792792793
125,lymphocyte,0.15548281505728315,0.2545045045045045
126,tumor,7.511830635118306,7.483535528596187
126,lymphocyte,0.12702366127023662,0.0779896013864818
127,tumor,7.435028248587571,7.247126436781609
127,lymphocyte,0.064030131826742,0.14655172413793102
128,tumor,7.588235294117647,7.45945945945946
128,lymphocyte,0.015294117647058824,0.11824324324324324
129,tumor,7.4892915980230645,7.302884615384615
129,lymphocyte,0.04612850082372323,0.19471153846153846
130,tumor,7.223880597014926,6.9772727272727275
130,lymphocyte,0.13134328358208955,0.17045454545454544
131,tumor,7.294117647058823,7.092682926829268
131,lymphocyte,0.04481792717086835,0.22439024390243903
132,tumor,7.337868480725623,7.291666666666667
132,lymphocyte,0.12698412698412698,0.0798611111111111
133,tumor,7.361256544502618,7.141630901287554
133,lymphocyte,0.020942408376963352,0.19313304721030042
134,tumor,7.2154696132596685,7.082474226804123
134,lymphocyte,0.11049723756906077,0.14948453608247422
135,tumor,7.534278959810875,7.4976599063962555
135,lymphocyte,0.0933806146572104,0.07332293291731669
136,tumor,7.042253521126761,6.840909090909091
136,lymphocyte,0.2711267605633803,0.38636363636363635
137,tumor,7.518610421836228,7.466666666666667
137,lymphocyte,0.09181141439205956,0.07692307692307693
138,tumor,7.54074074074074,7.497453310696095
138,lymphocyte,0.08148148148148149,0.028862478777589132
